team,games played,wins,draws,losses,goals for,goals against,goal difference,points,average points,average wins,average draws,average losses,average goals scored
Liverpool,38,25,9,4,86,41,45,84,2.210526316,0.657894737,0.236842105,0.105263158,2.263157895
Arsenal,38,20,14,4,69,34,35,74,1.947368421,0.526315789,0.368421053,0.105263158,1.815789474
Manchester,38,21,8,9,72,44,28,71,1.868421053,0.552631579,0.210526316,0.236842105,1.894736842
Chelsea,38,20,9,9,64,43,21,69,1.815789474,0.526315789,0.236842105,0.236842105,1.684210526
Newcastle,38,20,6,12,68,47,21,66,1.736842105,0.526315789,0.157894737,0.315789474,1.789473684
Aston Villa,38,19,9,10,58,51,7,66,1.736842105,0.5,0.236842105,0.263157895,1.526315789
Notttingham Forest,38,19,8,11,58,46,12,65,1.710526316,0.5,0.210526316,0.289473684,1.526315789
Brighton,38,16,13,9,66,59,7,61,1.605263158,0.421052632,0.342105263,0.236842105,1.736842105
Bournemouth,38,15,11,12,58,46,12,56,1.473684211,0.394736842,0.289473684,0.315789474,1.526315789
Brentford,38,16,8,14,66,57,9,56,1.473684211,0.421052632,0.210526316,0.368421053,1.736842105
Fulham,38,15,9,14,54,54,0,54,1.421052632,0.394736842,0.236842105,0.368421053,1.421052632
Crystal Palace,38,13,14,11,51,51,0,53,1.394736842,0.342105263,0.368421053,0.289473684,1.342105263
Everton,38,11,15,12,42,44,-2,48,1.263157895,0.289473684,0.394736842,0.315789474,1.105263158
West Ham,38,11,10,17,46,62,-16,43,1.131578947,0.289473684,0.263157895,0.447368421,1.210526316
Manchester United,38,11,9,18,44,54,-10,42,1.105263158,0.289473684,0.236842105,0.473684211,1.157894737
Wolves,38,12,6,20,54,69,-15,42,1.105263158,0.315789474,0.157894737,0.526315789,1.421052632
Spurs,38,11,5,22,64,65,-1,38,1,0.289473684,0.131578947,0.578947368,1.684210526
Leicester,38,6,7,25,33,80,-47,25,0.657894737,0.157894737,0.184210526,0.657894737,0.868421053
Ipswich,38,4,10,24,36,82,-46,22,0.578947368,0.105263158,0.263157895,0.631578947,0.947368421
Southampton,38,2,6,30,26,86,-60,12,0.315789474,0.052631579,0.157894737,0.789473684,0.684210526
